ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2015;EVENTO;V Ciclo de Palestras do Pré-CD;2015-05-26;2015-05-26;LEONARDO MOURA FERREIRA DE SOUZA;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2015;EVENTO;V Circuito Qualidade de Vida da UFRN;2015-10-06;2015-10-27;ANTONIO DE PADUA DOS SANTOS;SAÚDE;CONCLUÍDA;EXTENSÃO;1;0;500;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;V Colóquio de Pesquisa em Ciência da Informação;2015-05-05;2015-05-07;LUCIANA MOREIRA CARVALHO;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;130;;;;
2015;EVENTO;V Colóquio Nacional História Cultural e Sensibilidades;2015-11-16;2015-11-20;RAFAEL SCOPACASA;CULTURA;CONCLUÍDA;EXTENSÃO;1;0;300;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;V CURSO DE BIOESTATÍSTICA;2015-10-17;2015-10-18;ALVARO CAMPOS CAVALCANTI MACIEL;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;1;;;;
2015;EVENTO;V EUH - Encuentro Universitario de Hispanidades;2015-11-03;2015-11-06;NURIA MARIA NIETO NUNEZ;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;200;;;;
2015;EVENTO;VI Debate-treino da Sociedade de Debates - UFRN;2015-02-07;2015-02-07;LUCIANO ATHAYDE CHAVES;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2015;EVENTO;VII BOOM Mostra de Audiovisual dos alunos de Comunicação Social da UFRN;2015-04-27;2015-06-20;VALQUIRIA APARECIDA PASSOS KNEIPP;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;60;;;;
2015;EVENTO;VII Debate-treino da Sociedade de Debates - UFRN;2015-02-28;2015-02-28;LUCIANO ATHAYDE CHAVES;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2015;EVENTO;VIII Boom - Mostra de Audiovisual dos alunos de Comunicação Social;2015-11-16;2015-11-30;VALQUIRIA APARECIDA PASSOS KNEIPP;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;50;;;;
